"css-175oi2r href","css-9pa8cd src","css-1jxf684","css-1jxf684 2","css-1jxf684 3","css-146c3p1 href","css-146c3p1","css-1jxf684 4","css-1jxf684 5","css-1jxf684 6","css-1jxf684 7","css-175oi2r href 4","css-1jxf684 8","css-1jxf684 9","css-1jxf684 href","css-1jxf684 10","css-1jxf684 12","css-1jxf684 13","css-1jxf684 15","css-146c3p1 2","css-1jxf684 href 2","css-1jxf684 16","r-4qtqp9 src 3","r-4qtqp9 href"
"https://x.com/redriddinghoe","https://pbs.twimg.com/profile_images/2027121974594670592/4MNAELO6_normal.jpg","𓆙","@redriddinghoe","·","https://x.com/redriddinghoe/status/2052544653900263867","18h","telkomsel","sinyal","jelek najis","2","https://x.com/redriddinghoe/status/2052544653900263867/analytics","115","","","mahal doang","","","","","","","",""
"https://x.com/wayyypz21","https://pbs.twimg.com/profile_images/1991269355045416964/23hMiUh7_normal.jpg","WAY?!","@wayyypz21","·","https://x.com/wayyypz21/status/2052395097078247463","May 7","","sinyal","full","2","https://x.com/wayyypz21/status/2052395097078247463/analytics","26","@Telkomsel","https://x.com/Telkomsel","Aplikasi MyTelkomsel sesampah ini kah?? Dibuka pake paketan 1.4gb pake","juga lemot bgt.. Ngembagin fitur di dlm aplikasi banyak yg guna juga fitur beli paket ama perpanjang kartu doang.. Aplikasi lu ribet asu","","","","","","",""
"https://x.com/taliptoktamis","https://pbs.twimg.com/profile_images/1298679830540685312/dYWhVcpi_normal.jpg","Talip Toktamış","@taliptoktamis","·","https://x.com/taliptoktamis/status/2052825452675313673","19m","Translated from Turkish","Show original","","","https://x.com/taliptoktamis/status/2052825452675313673/analytics","73","","","We had already predicted it. In this country, Tele1, under the management of Merdan Yanardağ, has become the pole star of TV broadcasting, which is why we're watching what happens to the channel; for the honor of journalism, Tele1 must be stood up for.","","","","Replying to","https://x.com/SedaSelek1","@SedaSelek1","",""
"https://x.com/sasayangnomin","https://pbs.twimg.com/profile_images/2051120588589326336/6ksu2QRG_normal.jpg","ˢᵃˢᵃᵃ ²³¹³ | another time ya nomin","@sasayangnomin","·","https://x.com/sasayangnomin/status/2052726478761283862","6h","TELKOMSEL","SINYAL","LU JELEKBBGT NAPA SI","1","https://x.com/sasayangnomin/status/2052726478761283862/analytics","106","","","AH","","","","","","","",""
"https://x.com/Flywith123","https://pbs.twimg.com/profile_images/1626748735521947648/SDMQm1at_normal.jpg","다은","@Flywith123","·","https://x.com/Flywith123/status/2052245455837487465","May 7","sinyal","telkomsel","","2","https://x.com/Flywith123/status/2052245455837487465/analytics","94","","","Kenapa hanya panggilan darurat","?","","@telkom","","","","",""
"https://x.com/indargisaurus","https://pbs.twimg.com/profile_images/1899238684437991424/ILockMRh_normal.jpg","Anglachel's Wielder","@indargisaurus","·","https://x.com/indargisaurus/status/2052406081629073772","May 7","sinyal","","mahal","1","https://x.com/indargisaurus/status/2052406081629073772/analytics","138","@telkomsel","https://x.com/Telkomsel","Tengah kota Jogja bukanlah tempat yang bagus untuk","","","","","","","",""
"https://x.com/AzaraAufa","https://pbs.twimg.com/profile_images/1373475495199662084/8ExfG_ky_normal.jpg","Aufa","@AzaraAufa","·","https://x.com/AzaraAufa/status/2052485940548100206","22h","SINYAL","","lu jangan ikut2 sebatang juga. bales imes ajaa loading mampus cuk. ampundah gue mah","1","https://x.com/AzaraAufa/status/2052485940548100206/analytics","18","@Telkomsel","https://x.com/Telkomsel","cuk tolong lah, cukup rokok aja yang sebatang dua batang,","","","","","","","",""
"https://x.com/pikachuteknik","https://pbs.twimg.com/profile_images/1992312006041645056/pJ2qq3_i_normal.jpg","sta learning","@pikachuteknik","·","https://x.com/pikachuteknik/status/2052639405408747553","12h","","sinyal","lu kenapa jelek banget sih","2","https://x.com/pikachuteknik/status/2052639405408747553/analytics","131","@Telkomsel","https://x.com/Telkomsel","","","","","","","","",""
"https://x.com/gajahmada156","https://pbs.twimg.com/profile_images/1489497979581235204/9zzsA2_s_normal.jpg","han","@gajahmada156","·","https://x.com/gajahmada156/status/2052463199493198249","May 8","","SINYAL","","2","https://x.com/gajahmada156/status/2052463199493198249/analytics","122","@Telkomsel","https://x.com/Telkomsel","APASIH MAKSUDNYA","ILANG""AN MULU NAJIS BANGET DAH UDAH BAYAR MAHAL","","","","","","",""
"https://x.com/cynderells","https://pbs.twimg.com/profile_images/2026321813949837312/PeJ5g42H_normal.jpg","seine","@cynderells","·","https://x.com/cynderells/status/2052237847797879238","May 7","","sinyal","","","https://x.com/cynderells/status/2052237847797879238/analytics","112","@Telkomsel","https://x.com/Telkomsel","demi apapun","","dan antek2nya.","@IndiHome","","","","",""
