"css-175oi2r href","css-9pa8cd src","css-1jxf684","r-4qtqp9 src","css-1jxf684 2","css-1jxf684 3","css-146c3p1 href","css-146c3p1","css-1jxf684 4","css-1jxf684 5","css-1jxf684 6","css-1jxf684 7","css-175oi2r href 4","css-1jxf684 8","r-4qtqp9 src 2","css-1jxf684 9","css-1jxf684 10","r-4qtqp9 src 3","css-1jxf684 11","css-1jxf684 12","css-146c3p1 2","css-1jxf684 href 4","css-1jxf684 14","css-9pa8cd src 3","r-1p0dtai src"
"https://x.com/igotsan","https://pbs.twimg.com/profile_images/2052028234301403136/cvsnl4za_normal.jpg","pepi indosat","https://abs.twimg.com/emoji/v2/svg/1f345.svg","@igotsan","·","https://x.com/igotsan/status/2052744712986235325","5h","INI LUCU BANGET OMGSJSNMSKSBSHWKSJ","","Maff guys norak ini cb pertama aku as wandor","","https://x.com/igotsan/status/2052744712986235325/analytics","18","https://abs.twimg.com/emoji/v2/svg/1f62d.svg","#보이넥스트도어","","https://abs.twimg.com/emoji/v2/svg/1f62d.svg","#BOYNEXTDOOR","#BOYNEXTDOORHOME","","","","https://pbs.twimg.com/amplify_video_thumb/2052744644006670336/img/_r6jAFKW63rPfsIU.jpg","blob:https://x.com/84162e64-794d-495e-b1d8-42c58baf0545"
"https://x.com/economiys","https://pbs.twimg.com/profile_images/2048138274091462656/DqDFlDeN_normal.jpg","mitha indosat","","@economiys","·","https://x.com/economiys/status/2051813627796303891","May 6","masih respect menghela napas, belum di left out","","","1","https://x.com/economiys/status/2051813627796303891/analytics","5.8K","","253","","","","","Replying to","https://x.com/tanyarlfes","@tanyarlfes","",""
"https://x.com/keedehara","https://pbs.twimg.com/profile_images/2046560763763212288/F6x6RyhX_normal.jpg","Kirara Indosat","https://abs.twimg.com/emoji/v2/svg/1f408-200d-2b1b.svg","@keedehara","·","https://x.com/keedehara/status/2051230956418400616","May 4","still good tho","","","1","https://x.com/keedehara/status/2051230956418400616/analytics","46","","","","","","","Replying to","https://x.com/naresxuw","@naresxuw","",""
"https://x.com/cerita_dwyra","https://pbs.twimg.com/profile_images/1482668321049051139/W9fZHRy3_normal.jpg","Cerita Dwyra","","@cerita_dwyra","·","https://x.com/cerita_dwyra/status/2052004450592788857","May 6","Sinyal","indosat","lagi kenapa si?","1","https://x.com/cerita_dwyra/status/2052004450592788857/analytics","91","","1","","","","","","","","",""
"https://x.com/geminiurbae","https://pbs.twimg.com/profile_images/2051335830510374912/__8-lsNE_normal.jpg","dew.","","@geminiurbae","·","https://x.com/geminiurbae/status/2049734777922842744","Apr 30","sbrnnya mau stan apa juga bebas ya, asal bisa menghargai culture yg ada di kpop atau tpop. sekalipun fomo juga wajar aja. kdg kan baru liat artis ganteng/cantik lsg suka dan itu gpp bgt. tapi please RESPECT juga sama kehidupan/kebiasaan/budaya artis kalian.","","","2","https://x.com/geminiurbae/status/2049734777922842744/analytics","12K","","43","Parody account","","","","Replying to","https://x.com/teedewy","@teedewy","",""
"https://x.com/keedehara","https://pbs.twimg.com/profile_images/2046560763763212288/F6x6RyhX_normal.jpg","Kirara Indosat","https://abs.twimg.com/emoji/v2/svg/1f408-200d-2b1b.svg","@keedehara","·","https://x.com/keedehara/status/2052401533451653346","May 7","ada yang lagi nguli malem malem","","","2","https://x.com/keedehara/status/2052401533451653346/analytics","67","","3","","","","","","","","",""
"https://x.com/keedehara","https://pbs.twimg.com/profile_images/2046560763763212288/F6x6RyhX_normal.jpg","Kirara Indosat","https://abs.twimg.com/emoji/v2/svg/1f408-200d-2b1b.svg","@keedehara","·","https://x.com/keedehara/status/2051265564480512109","May 4","maauuu","","","1","https://x.com/keedehara/status/2051265564480512109/analytics","29","","","","","","","Replying to","https://x.com/aeicitera","@aeicitera","",""
"https://x.com/keedehara","https://pbs.twimg.com/profile_images/2046560763763212288/F6x6RyhX_normal.jpg","Kirara Indosat","https://abs.twimg.com/emoji/v2/svg/1f408-200d-2b1b.svg","@keedehara","·","https://x.com/keedehara/status/2051658054840824272","May 5","dem smangt yhhh","","smoga lekas kelar dan egk sbuk lgi biar bsa fkus fangirlingan","1","https://x.com/keedehara/status/2051658054840824272/analytics","16","https://abs.twimg.com/emoji/v2/svg/1f62d.svg","1","","https://abs.twimg.com/emoji/v2/svg/1f92d.svg","","","Replying to","https://x.com/graceth_fa","@graceth_fa","",""
"https://x.com/igotsan","https://pbs.twimg.com/profile_images/2052028234301403136/cvsnl4za_normal.jpg","pepi indosat","https://abs.twimg.com/emoji/v2/svg/1f345.svg","@igotsan","·","https://x.com/igotsan/status/2052744712986235325","5h","INI LUCU BANGET OMGSJSNMSKSBSHWKSJ","","Maff guys norak ini cb pertama aku as wandor","","https://x.com/igotsan/status/2052744712986235325/analytics","18","https://abs.twimg.com/emoji/v2/svg/1f62d.svg","#보이넥스트도어","","https://abs.twimg.com/emoji/v2/svg/1f62d.svg","#BOYNEXTDOOR","#BOYNEXTDOORHOME","","","","","blob:https://x.com/84162e64-794d-495e-b1d8-42c58baf0545"
"https://x.com/bugiswarta","https://pbs.twimg.com/profile_images/628423935479058432/3l2Kx07j_normal.jpg","Bugis Warta","","@bugiswarta","·","https://x.com/bugiswarta/status/2051542052585030136","May 5","Ayoo beli semua... Daripada seperti","Indosat","yang di jual ke asing...   

Cocok tohhh","1","https://x.com/bugiswarta/status/2051542052585030136/analytics","126","","","","","","","Replying to","https://x.com/MurtadhaOne1","@MurtadhaOne1","",""
